STABBR,UGDS_WHITE_2011,UGDS_BLACK_2011,UGDS_HISP_2011,UGDS_ASIAN_2011,UGDS_AIAN_2011,UGDS_WHITE_2014,UGDS_BLACK_2014,UGDS_HISP_2014,UGDS_ASIAN_2014,UGDS_AIAN_2014,UGDS_WHITE_2018,UGDS_BLACK_2018,UGDS_HISP_2018,UGDS_ASIAN_2018,UGDS_AIAN_2018,WHITE_change_14_18,WHITE_change_11_18,WHITE_change_11_14,BLACK_change_14_18,BLACK_change_11_18,BLACK_change_11_14,HISP_change_14_18,HISP_change_11_18,HISP_change_11_14,ASIAN_change_14_18,ASIAN_change_11_18,ASIAN_change_11_14,AIAN_change_14_18,AIAN_change_11_18,AIAN_change_11_14
NY,0.7645333333333334,0.03226666666666667,0.03473333333333333,0.008266666666666667,0.0034666666666666665,0.7744,0.040799999999999996,0.04186666666666666,0.006266666666666667,0.0034333333333333334,0.7554333333333333,0.08156666666666666,0.05163333333333333,0.017866666666666666,0.005033333333333333,-0.018966666666666687,-0.009100000000000108,0.00986666666666658,0.040766666666666666,0.04929999999999999,0.008533333333333323,0.009766666666666667,0.0169,0.007133333333333332,0.0116,0.0096,-0.002,0.0015999999999999999,0.0015666666666666667,-3.333333333333313e-05
OH,0.5705,0.36245,0.01775,0.0093,0.00115,0.5405,0.3953,0.0123,0.01175,0.001,0.78695,0.08560000000000001,0.0322,0.0186,0.0022500000000000003,0.24645000000000006,0.21645000000000003,-0.030000000000000027,-0.3097,-0.27685,0.03284999999999999,0.0199,0.014450000000000001,-0.005449999999999998,0.0068499999999999985,0.0093,0.002450000000000001,0.0012500000000000002,0.0011000000000000003,-0.00014999999999999996
OK,0.6443666666666666,0.0717,0.0456,0.0064333333333333334,0.13449999999999998,0.5540999999999999,0.07653333333333333,0.07136666666666668,0.006833333333333334,0.19276666666666667,0.5610666666666667,0.06366666666666666,0.07790000000000001,0.006733333333333333,0.1522,0.006966666666666788,-0.08329999999999993,-0.09026666666666672,-0.012866666666666665,-0.008033333333333337,0.004833333333333328,0.0065333333333333354,0.03230000000000001,0.025766666666666674,-0.00010000000000000026,0.0002999999999999999,0.0004000000000000002,-0.04056666666666667,0.01770000000000002,0.05826666666666669
OR,0.6664333333333333,0.008833333333333334,0.12120000000000002,0.011066666666666667,0.02376666666666667,0.6607666666666666,0.010400000000000001,0.1751666666666667,0.011700000000000002,0.021066666666666668,0.5691,0.0092,0.24016666666666667,0.011366666666666666,0.018766666666666664,-0.09166666666666656,-0.09733333333333327,-0.005666666666666709,-0.0012000000000000014,0.0003666666666666662,0.0015666666666666676,0.06499999999999997,0.11896666666666665,0.05396666666666668,-0.0003333333333333365,0.0002999999999999982,0.0006333333333333347,-0.0023000000000000034,-0.0050000000000000044,-0.002700000000000001
PA,0.7586333333333334,0.11510000000000002,0.019866666666666668,0.010633333333333333,0.002466666666666667,0.7407333333333334,0.11383333333333334,0.02993333333333333,0.012866666666666665,0.002966666666666666,0.7229,0.11293333333333333,0.043199999999999995,0.016,0.0029999999999999996,-0.017833333333333368,-0.035733333333333395,-0.017900000000000027,-0.0009000000000000119,-0.0021666666666666917,-0.0012666666666666798,0.013266666666666666,0.023333333333333327,0.010066666666666661,0.003133333333333335,0.005366666666666667,0.002233333333333332,3.3333333333333565e-05,0.0005333333333333327,0.0004999999999999991
PR,0.0007999999999999999,0.0,0.9700666666666667,0.0,0.0,0.0014,0.0,0.9877333333333334,0.0,0.0,0.0016333333333333332,0.0007666666666666667,0.9863333333333334,0.0,0.0,0.00023333333333333322,0.0008333333333333333,0.0006000000000000001,0.0007666666666666667,0.0007666666666666667,0.0,-0.0013999999999999568,0.01626666666666665,0.01766666666666661,0.0,0.0,0.0,0.0,0.0,0.0
PW,0.0,0.0014,0.0,0.0027,0.0014,0.0,0.0017,0.0,0.0,0.0,0.0021,0.0,0.0,0.0168,0.0,0.0021,0.0021,0.0,-0.0017,-0.0014,0.0002999999999999999,0.0,0.0,0.0,0.0168,0.014099999999999998,-0.0027,0.0,-0.0014,-0.0014
RI,0.6716333333333333,0.07306666666666667,0.1082,0.027,0.0041333333333333335,0.6419333333333334,0.07506666666666666,0.14173333333333335,0.03,0.003766666666666667,0.6156333333333334,0.08216666666666667,0.17643333333333333,0.030866666666666667,0.0031,-0.02629999999999999,-0.05599999999999994,-0.02969999999999995,0.007100000000000009,0.009099999999999997,0.001999999999999988,0.03469999999999998,0.06823333333333333,0.033533333333333346,0.0008666666666666684,0.0038666666666666676,0.002999999999999999,-0.000666666666666667,-0.0010333333333333336,-0.0003666666666666666
SC,0.6528333333333333,0.2618666666666667,0.03623333333333333,0.009633333333333334,0.0045,0.6332333333333334,0.24513333333333331,0.06210000000000001,0.011766666666666667,0.005,0.6077,0.23640000000000003,0.08956666666666667,0.015033333333333334,0.004533333333333334,-0.025533333333333408,-0.04513333333333325,-0.01959999999999984,-0.008733333333333287,-0.025466666666666665,-0.016733333333333378,0.02746666666666666,0.05333333333333334,0.025866666666666677,0.0032666666666666677,0.0054,0.0021333333333333326,-0.00046666666666666645,3.3333333333334e-05,0.0005000000000000004
SD,0.9015666666666666,0.0119,0.022299999999999997,0.006233333333333334,0.022933333333333333,0.8565,0.018433333333333333,0.03506666666666667,0.007366666666666666,0.02256666666666667,0.8527666666666667,0.018,0.0419,0.0126,0.0238,-0.0037333333333333663,-0.048799999999999955,-0.04506666666666659,-0.0004333333333333342,0.006099999999999998,0.006533333333333332,0.00683333333333333,0.019600000000000003,0.012766666666666673,0.005233333333333334,0.006366666666666666,0.0011333333333333325,0.0012333333333333328,0.0008666666666666684,-0.00036666666666666445
TN,0.7574666666666667,0.13436666666666666,0.028999999999999998,0.0135,0.004866666666666667,0.7538,0.13846666666666665,0.0452,0.012366666666666666,0.006766666666666667,0.7394999999999999,0.13366666666666668,0.0608,0.013133333333333332,0.0031666666666666666,-0.01430000000000009,-0.017966666666666797,-0.003666666666666707,-0.004799999999999971,-0.0006999999999999784,0.0040999999999999925,0.015600000000000003,0.0318,0.0162,0.0007666666666666655,-0.0003666666666666679,-0.0011333333333333334,-0.0036000000000000008,-0.0017000000000000001,0.0019000000000000006
