,Name,Average Household Income_2011,Population_2011,Poverty Count_2011,White Pop_2011,White Median Income_2011,Black Pop_2011,Black Median Income_2011,Asian Pop_2011,Asian Median Income_2011,Hispanic or Latino Pop_2011,Hispanic or Latino Median Income_2011,Average Household Income_2014,Population_2014,Poverty Count_2014,White Pop_2014,White Median Income_2014,Black Pop_2014,Black Median Income_2014,Asian Pop_2014,Asian Median Income_2014,Hispanic or Latino Pop_2014,Hispanic or Latino Median Income_2014,Average Household Income,Population,Poverty Count,White Pop,White Median Income,Black Pop,Black Median Income,Asian Pop,Asian Median Income,Hispanic or Latino Pop,Hispanic or Latino Median Income,Difference in White Median Income (2011-2014),Difference in White Median Income (2014-2018),Difference in Black Median Income (2011-2014),Difference in Black Median Income (2014-2018),Difference in Asian Median Income (2011-2014),Difference in Asian Median Income (2014-2018),Difference in Hispanic or Latino Median Income (2011-2014),Difference in Hispanic or Latino Median Income (2014-2018)
11,Hawaii,67116.0,1346554.0,134387.0,308067.0,67737.0,20123.0,57832.0,511161.0,70573.0,119059.0,54879.0,68201.0,1392704.0,153752.0,318407.0,66975.0,25044.0,61829.0,517525.0,73765.0,133485.0,55180.0,78084.0,1422029.0,137516.0,314536.0,77486.0,24472.0,70100.0,522731.0,83089.0,147962.0,65160.0,-762.0,10511.0,3997.0,8271.0,3192.0,9324.0,301.0,9980.0
12,Idaho,46890.0,1549987.0,216734.0,1306061.0,47514.0,8172.0,33411.0,18237.0,41534.0,168949.0,35271.0,47334.0,1599464.0,244618.0,1333061.0,47996.0,8699.0,33391.0,20747.0,53582.0,186374.0,37346.0,53089.0,1687809.0,228882.0,1387654.0,53738.0,10739.0,39970.0,22809.0,53435.0,209073.0,44690.0,482.0,5742.0,-20.0,6579.0,12048.0,-147.0,2075.0,7344.0
13,Illinois,56576.0,12790182.0,1640428.0,8177405.0,61313.0,1835970.0,35092.0,578508.0,74986.0,1987211.0,47182.0,57166.0,12868747.0,1810470.0,8088630.0,62152.0,1822304.0,34174.0,622689.0,75890.0,2095495.0,46782.0,63575.0,12821497.0,1635603.0,7894286.0,69194.0,1796057.0,37244.0,685343.0,85828.0,2174842.0,53440.0,839.0,7042.0,-918.0,3070.0,904.0,9938.0,-400.0,6658.0
14,Indiana,48393.0,6454254.0,885150.0,5279665.0,50839.0,568736.0,30898.0,98189.0,53742.0,377169.0,37148.0,48737.0,6542411.0,983826.0,5286730.0,51311.0,589861.0,30531.0,113904.0,52818.0,411536.0,38618.0,54325.0,6637426.0,908359.0,5275162.0,57269.0,610343.0,33342.0,143883.0,62136.0,450267.0,45697.0,472.0,5958.0,-367.0,2811.0,-924.0,9318.0,1470.0,7079.0
15,Iowa,50451.0,3032266.0,347536.0,2698533.0,51410.0,84067.0,26151.0,52218.0,55839.0,144158.0,38666.0,52716.0,3078116.0,373867.0,2702644.0,53780.0,93293.0,27745.0,59235.0,59028.0,163110.0,40551.0,58580.0,3132499.0,353634.0,2695888.0,60123.0,107471.0,31053.0,74640.0,60638.0,183296.0,45948.0,2370.0,6343.0,1594.0,3308.0,3189.0,1610.0,1885.0,5397.0
16,Kansas,50594.0,2830985.0,347184.0,2225141.0,52278.0,159450.0,32297.0,66967.0,59306.0,287599.0,38337.0,51872.0,2882946.0,386062.0,2231182.0,53621.0,162948.0,32903.0,72127.0,60287.0,316141.0,39779.0,57422.0,2908776.0,350280.0,2214543.0,59641.0,163713.0,35829.0,82887.0,68821.0,340616.0,45236.0,1343.0,6020.0,606.0,2926.0,981.0,8534.0,1442.0,5457.0
17,Kentucky,42248.0,4316040.0,756947.0,3737269.0,43679.0,332858.0,28927.0,47197.0,64284.0,124593.0,34024.0,43342.0,4383272.0,803866.0,3760868.0,44895.0,340235.0,28858.0,53004.0,62293.0,139636.0,34575.0,48392.0,4440204.0,772080.0,3764082.0,50267.0,349407.0,33642.0,62432.0,62655.0,158744.0,40559.0,1216.0,5372.0,-69.0,4784.0,-1991.0,362.0,551.0,5984.0
18,Louisiana,44086.0,4484596.0,800705.0,2722640.0,53251.0,1421435.0,27740.0,68873.0,53035.0,183706.0,42024.0,44991.0,4601049.0,874638.0,2748538.0,54727.0,1468208.0,28116.0,74878.0,53586.0,210524.0,44481.0,47942.0,4663616.0,878394.0,2744265.0,58632.0,1492230.0,29508.0,79137.0,61351.0,234920.0,44169.0,1476.0,3905.0,376.0,1392.0,551.0,7765.0,2457.0,-312.0
19,Maine,47898.0,1328543.0,165146.0,1256736.0,48434.0,13273.0,28281.0,13504.0,50219.0,17307.0,36426.0,48804.0,1328535.0,179878.0,1249385.0,49258.0,14456.0,24370.0,14324.0,53495.0,18592.0,39421.0,55425.0,1332813.0,161743.0,1244525.0,56030.0,16990.0,38655.0,14814.0,55656.0,21421.0,49082.0,824.0,6772.0,-3911.0,14285.0,3276.0,2161.0,2995.0,9661.0
20,Maryland,72419.0,5736545.0,502610.0,3167532.0,79945.0,1661299.0,57309.0,310966.0,89575.0,451861.0,62774.0,74149.0,5887776.0,573383.0,3153084.0,82638.0,1710040.0,58657.0,342626.0,92457.0,515724.0,62493.0,81868.0,6003435.0,553496.0,3084868.0,90964.0,1759438.0,65039.0,371981.0,102786.0,588912.0,70412.0,2693.0,8326.0,1348.0,6382.0,2882.0,10329.0,-281.0,7919.0
