STABBR,UGDS_WHITE_2011,UGDS_BLACK_2011,UGDS_HISP_2011,UGDS_ASIAN_2011,UGDS_AIAN_2011,UGDS_WHITE_2014,UGDS_BLACK_2014,UGDS_HISP_2014,UGDS_ASIAN_2014,UGDS_AIAN_2014,UGDS_WHITE_2018,UGDS_BLACK_2018,UGDS_HISP_2018,UGDS_ASIAN_2018,UGDS_AIAN_2018,WHITE_change_14_18,WHITE_change_11_18,WHITE_change_11_14,BLACK_change_14_18,BLACK_change_11_18,BLACK_change_11_14,HISP_change_14_18,HISP_change_11_18,HISP_change_11_14,ASIAN_change_14_18,ASIAN_change_11_18,ASIAN_change_11_14,AIAN_change_14_18,AIAN_change_11_18,AIAN_change_11_14
KY,0.9527,0.0159,0.011,0.0038,0.0014,0.9466,0.016,0.0132,0.0025,0.0041,0.9512,0.0135,0.0085,0.003,0.0025,0.0046000000000000485,-0.0014999999999999458,-0.006099999999999994,-0.0025000000000000005,-0.002400000000000001,9.99999999999994e-05,-0.004699999999999999,-0.0024999999999999988,0.0022000000000000006,0.0005,-0.0007999999999999999,-0.0013,-0.0016000000000000003,0.0011,0.0027
LA,0.5449,0.3972,0.0205,0.0064,0.0071,0.4882,0.39,0.0318,0.0037,0.0096,0.5017,0.3633,0.0324,0.0054,0.0216,0.013500000000000012,-0.043200000000000016,-0.05670000000000003,-0.0267,-0.033899999999999986,-0.007199999999999984,0.0005999999999999964,0.011899999999999997,0.011300000000000001,0.0017000000000000001,-0.001,-0.0027,0.012000000000000002,0.0145,0.0024999999999999988
MA,0.8244,0.0533,0.069,0.0139,0.0042,0.7943,0.0728,0.0755,0.0171,0.0037,0.723,0.0874,0.0662,0.0211,0.006999999999999999,-0.07130000000000003,-0.10140000000000005,-0.030100000000000016,0.014600000000000002,0.034100000000000005,0.019500000000000003,-0.009300000000000003,-0.002800000000000011,0.006499999999999992,0.004,0.0072000000000000015,0.0032000000000000015,0.003299999999999999,0.0027999999999999995,-0.0004999999999999996
MD,0.8407,0.1168,0.0088,0.0057,0.0,0.8008,0.1308,0.017,0.0031,0.0015,0.7916,0.132,0.0169,0.0065,0.0011,-0.009199999999999986,-0.04910000000000003,-0.03990000000000005,0.0012000000000000066,0.015200000000000005,0.013999999999999999,-0.00010000000000000286,0.008099999999999998,0.0082,0.0034,0.0007999999999999995,-0.0026000000000000003,-0.00039999999999999996,0.0011,0.0015
ME,0.6705,0.0265,0.0118,0.0077,0.0057,0.8486,0.0569,0.0244,0.0112,0.0084,0.7851,0.1056,0.0257,0.0087,0.0064,-0.0635,0.11460000000000004,0.17810000000000004,0.0487,0.0791,0.0304,0.001299999999999999,0.013900000000000001,0.012600000000000002,-0.0025000000000000005,0.0009999999999999992,0.0034999999999999996,-0.001999999999999999,0.0007000000000000001,0.0026999999999999993
MH,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0028,0.0,0.0,0.0,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027,0.0027,0.0,-0.0028,-0.001,0.0018
MI,0.9544,0.0128,0.0134,0.0091,0.0085,0.9423,0.0195,0.0109,0.0078,0.0148,0.8727,0.0173,0.0233,0.0068,0.0339,-0.0696,-0.0817,-0.0121,-0.0022000000000000006,0.004499999999999999,0.006699999999999999,0.012400000000000001,0.0099,-0.0025000000000000005,-0.001,-0.002300000000000001,-0.0013000000000000008,0.0191,0.0254,0.0063
MN,0.9322,0.006999999999999999,0.0222,0.0038,0.0027,0.9164,0.0078,0.0367,0.0048,0.0048,0.8866,0.0118,0.0538,0.0066,0.0022,-0.029799999999999938,-0.045599999999999974,-0.015800000000000036,0.004,0.0048000000000000004,0.0008000000000000004,0.017099999999999997,0.0316,0.014500000000000002,0.0018000000000000004,0.0028,0.0009999999999999996,-0.0025999999999999994,-0.0005,0.0020999999999999994
MO,0.8479,0.012,0.0607,0.0103,0.0197,0.8170000000000001,0.0154,0.0817,0.0154,0.0219,0.7731,0.0107,0.1141,0.0156,0.0143,-0.04390000000000005,-0.07479999999999998,-0.030899999999999928,-0.004700000000000001,-0.0013000000000000008,0.0034000000000000002,0.0324,0.053399999999999996,0.020999999999999998,0.0001999999999999988,0.005299999999999999,0.0051,-0.007599999999999999,-0.0053999999999999986,0.0022000000000000006
MS,0.0189,0.9131,0.0028,0.0,0.0004,0.0389,0.9552,0.0032,0.0011,0.0,0.056,0.92,0.004,0.0,0.0027,0.017100000000000004,0.0371,0.019999999999999997,-0.03520000000000001,0.006900000000000017,0.042100000000000026,0.0007999999999999999,0.0012000000000000001,0.0004000000000000002,-0.0011,0.0,0.0011,0.0027,0.0023,-0.0004
MT,0.8891,0.0117,0.0214,0.0039,0.0253,0.8893,0.0088,0.0264,0.0176,0.0211,0.8596,0.0048,0.0194,0.0097,0.0291,-0.02969999999999995,-0.02949999999999997,0.00019999999999997797,-0.004000000000000001,-0.006900000000000001,-0.0029,-0.006999999999999999,-0.0019999999999999983,0.005000000000000001,-0.0079,0.0058000000000000005,0.0137,0.008,0.0038000000000000013,-0.004199999999999999
NC,0.6895,0.2154,0.0271,0.005,0.0046,0.6665,0.1795,0.0425,0.0066,0.0056,0.6757,0.1625,0.0506,0.0115,0.004,0.009199999999999986,-0.013800000000000034,-0.02300000000000002,-0.016999999999999987,-0.0529,-0.035900000000000015,0.008099999999999996,0.0235,0.015400000000000004,0.0049,0.0065,0.0015999999999999999,-0.0015999999999999999,-0.0005999999999999998,0.001
ND,0.0688,0.0,0.0423,0.0,0.8307,0.7538,0.0514,0.0393,0.0091,0.0347,0.6919,0.0451,0.0654,0.0073,0.0305,-0.061900000000000066,0.6231,0.685,-0.0063,0.0451,0.0514,0.026099999999999998,0.023100000000000002,-0.0029999999999999957,-0.0018000000000000004,0.0073,0.0091,-0.004200000000000002,-0.8002,-0.796
